"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Feb 12, 2026",15.69,15.73,15.13,15.25,15.25,27679000
"Feb 11, 2026",15.61,16.03,15.59,15.83,15.83,33471300
"Feb 10, 2026",15.20,15.39,15.05,15.33,15.33,15943300
"Feb 09, 2026",14.89,15.30,14.88,15.27,15.27,17446700
"Feb 06, 2026",14.97,15.09,14.81,14.87,14.87,16386700
"Feb 05, 2026",15.07,15.27,14.83,14.90,14.90,21414400
"Feb 04, 2026",15.24,15.32,14.98,15.14,15.14,24711700
"Feb 03, 2026",15.42,15.55,15.02,15.28,15.28,33867100
"Feb 02, 2026",14.94,15.04,14.50,15.03,15.03,39216600
"Jan 30, 2026",15.48,15.53,15.07,15.34,15.34,37673100
"Jan 29, 2026",15.80,15.94,15.36,15.52,15.52,40418700
"Jan 28, 2026",15.27,15.40,15.07,15.38,15.38,37940600
"Jan 27, 2026",14.73,15.04,14.72,15.02,15.02,37161200
"Jan 26, 2026",14.42,14.56,14.26,14.34,14.34,25817600
"Jan 23, 2026",14.08,14.39,13.96,14.28,14.28,32111400
"Jan 22, 2026",13.60,13.93,13.60,13.77,13.77,41525800
"Jan 21, 2026",13.00,13.60,13.00,13.51,13.51,51506700
"Jan 20, 2026",12.69,12.94,12.69,12.83,12.83,14564200
"Jan 16, 2026",12.63,12.75,12.57,12.69,12.69,11851500
"Jan 15, 2026",12.52,12.69,12.43,12.61,12.61,18466100
"Jan 14, 2026",12.34,12.96,12.31,12.66,12.66,54822400
"Jan 13, 2026",11.99,12.37,11.99,12.30,12.30,32943900
"Jan 12, 2026",11.92,12.04,11.87,11.87,11.87,11864800
"Jan 09, 2026",11.85,12.07,11.85,11.88,11.88,13438100
"Jan 08, 2026",11.59,11.86,11.59,11.80,11.80,17034500
"Jan 07, 2026",11.54,11.59,11.48,11.54,11.54,15302100
"Jan 06, 2026",11.82,11.89,11.55,11.57,11.57,21177900
"Jan 05, 2026",11.83,11.89,11.49,11.74,11.74,28166500
"Jan 02, 2026",11.88,11.95,11.73,11.92,11.92,10001800
"Dec 31, 2025",11.84,11.89,11.80,11.85,11.85,7269200
"Dec 30, 2025",11.75,11.92,11.74,11.86,11.86,13398500
"Dec 29, 2025",11.56,11.66,11.52,11.59,11.59,13419300
"Dec 26, 2025",11.51,11.62,11.43,11.55,11.55,11492900
"Dec 24, 2025",11.84,11.87,11.77,11.83,11.83,5920100
"Dec 23, 2025",11.77,11.86,11.76,11.83,11.83,10895500
"Dec 22, 2025",11.84,11.90,11.70,11.72,11.72,16558800
"Dec 19, 2025",11.75,11.86,11.72,11.75,11.75,16457100
"Dec 18, 2025",11.77,11.87,11.65,11.72,11.72,19272400
"Dec 17, 2025",11.79,11.83,11.68,11.77,11.77,24094100
"Dec 16, 2025",11.99,12.00,11.67,11.79,11.79,31666600
"Dec 15, 2025",12.33,12.35,12.17,12.18,12.18,15998100
"Dec 12, 2025",12.30,12.36,12.12,12.18,12.18,19719900
"Dec 11, 2025",12.20,12.25,12.12,12.15,12.15,12727500
"Dec 10, 2025",12.25,12.29,12.10,12.23,12.23,12100100
"Dec 09, 2025",12.10,12.34,12.08,12.32,12.32,16250900
"Dec 08, 2025",12.26,12.40,12.18,12.24,12.24,24816600
"Dec 05, 2025",12.82,12.96,12.09,12.13,12.13,41176600
"Dec 04, 2025",12.98,13.01,12.82,12.88,12.88,12259700
"Dec 03, 2025",12.75,12.93,12.75,12.80,12.80,10893800
"Dec 02, 2025",12.57,12.63,12.36,12.61,12.61,15906100
"Dec 01, 2025",12.46,12.74,12.44,12.55,12.55,13725000
"Nov 28, 2025",12.48,12.54,12.43,12.54,12.54,12812000
"Nov 26, 2025",12.66,12.78,12.58,12.66,12.66,15291900
"Nov 25, 2025",12.70,12.71,12.51,12.62,12.62,11768400
"Nov 24, 2025",12.79,12.87,12.68,12.75,12.75,12416800
"Nov 21, 2025",12.84,12.87,12.67,12.76,12.76,16536400
"Nov 20, 2025",13.08,13.12,12.75,12.78,12.78,16231400
"Nov 19, 2025",12.93,13.13,12.89,13.02,13.02,13898200
"Nov 18, 2025",13.04,13.20,12.97,13.13,13.13,13169400
"Nov 17, 2025",13.19,13.26,13.04,13.12,13.12,12294400
"Nov 14, 2025",13.06,13.35,13.06,13.18,13.18,16138300
"Nov 13, 2025",13.04,13.24,12.98,13.03,13.03,16521300
"Nov 12, 2025",13.23,13.30,12.82,12.98,12.98,26744000
"Nov 11, 2025",13.22,13.62,13.22,13.47,13.47,29089400
"Nov 10, 2025",12.97,13.13,12.77,13.01,13.01,24175200
"Nov 07, 2025",12.19,12.87,12.12,12.86,12.86,53662000
"Nov 06, 2025",12.25,12.27,12.11,12.14,12.14,23423100
"Nov 05, 2025",11.93,12.25,11.92,12.14,12.14,26520000
"Nov 04, 2025",11.71,11.86,11.64,11.83,11.83,18870000
"Nov 03, 2025",11.80,12.05,11.76,11.82,11.82,34968800
"Oct 31, 2025",11.79,11.81,11.59,11.64,11.64,19224700
"Oct 30, 2025",11.76,11.90,11.67,11.72,11.72,24194100
"Oct 29, 2025",11.90,11.95,11.85,11.88,11.88,23171100
"Oct 28, 2025",11.84,12.02,11.80,11.87,11.87,28602600
"Oct 27, 2025",11.87,11.89,11.70,11.86,11.86,23913600
"Oct 24, 2025",11.95,12.01,11.72,11.74,11.74,29542000
"Oct 23, 2025",12.08,12.10,11.82,11.84,11.84,30680000
"Oct 22, 2025",11.62,11.81,11.55,11.73,11.73,30880000
"Oct 21, 2025",11.72,11.74,11.46,11.56,11.56,32663500
"Oct 20, 2025",11.66,11.80,11.58,11.69,11.69,29046700
