p,d,q,P,D,Q,m,AIC
3,1,3,2,0,2,4,1792.7034401913338
3,1,3,2,0,3,4,1794.255755843042
3,1,3,3,0,2,4,1794.3823930990557
0,1,0,2,0,2,4,1794.598513799875
2,1,2,0,0,0,4,1795.6915184594743
1,1,2,2,0,2,4,1795.8278416244184
2,1,2,1,0,0,4,1795.899896797754
3,1,3,3,0,3,4,1795.969474275039
2,1,1,2,0,2,4,1796.004191206859
2,1,2,0,0,1,4,1796.2690523372164
0,1,1,2,0,2,4,1796.6376533745897
1,1,1,2,0,2,4,1796.656450708239
0,1,0,3,0,2,4,1796.7256455581705
1,1,0,2,0,2,4,1796.7331739131273
0,1,0,2,0,3,4,1797.009852104879
2,1,0,2,0,2,4,1797.3407308833262
2,1,2,0,0,2,4,1797.3466998347378
0,1,2,2,0,2,4,1797.4776593276997
1,1,3,2,0,2,4,1797.563950186849
1,1,2,3,0,2,4,1797.6425520140642
2,1,1,3,0,2,4,1797.7297207173992
2,1,2,0,0,3,4,1797.839522020904
2,1,2,3,0,0,4,1797.8763455872163
3,1,3,0,0,0,4,1797.8765472392229
1,1,2,2,0,3,4,1797.9097192595918
2,1,1,2,0,3,4,1797.9556637362034
2,1,2,2,0,0,4,1797.9985148363148
1,1,1,3,0,2,4,1798.2104739159336
0,1,0,3,0,3,4,1798.4876612702915
2,1,2,2,0,2,4,1798.5447847865082
0,1,1,3,0,2,4,1798.6252976451392
1,1,1,2,0,3,4,1798.6253933039934
1,1,0,3,0,2,4,1798.6396783777677
3,1,0,2,0,2,4,1798.8594908357618
0,1,1,2,0,3,4,1798.8962799941908
1,1,0,2,0,3,4,1798.9176331471058
0,1,2,3,0,2,4,1799.1671992080132
2,1,0,3,0,2,4,1799.1696095772393
0,1,3,2,0,2,4,1799.2689244296348
3,1,3,0,0,1,4,1799.3017703867495
2,1,0,2,0,3,4,1799.3534465295036
1,1,3,3,0,2,4,1799.4112256883018
0,1,2,2,0,3,4,1799.4130499546343
2,1,2,1,0,2,4,1799.4884851772727
2,1,3,2,0,2,4,1799.6021262784686
1,1,3,2,0,3,4,1799.6056292793946
1,1,2,3,0,3,4,1799.6225604488454
3,1,3,1,0,0,4,1799.6404649931346
2,1,1,3,0,3,4,1799.7359246672663
3,1,3,2,0,0,4,1799.8222416098224
0,1,0,0,0,1,4,1800.0448166754184
3,1,2,2,0,2,4,1800.2694877946838
1,1,1,3,0,3,4,1800.3545758416872
3,1,3,0,0,2,4,1800.358158462223
1,1,2,0,0,1,4,1800.3688239269393
2,1,2,3,0,2,4,1800.3848149650642
