,p,d,q,P,D,Q,m,AIC
0,2,1,1,1,1,2,12,892.2339475191728
1,2,1,1,2,1,1,12,893.3155993089526
2,2,1,1,1,1,3,12,894.1103070849875
3,1,1,0,1,1,2,12,894.2897915962267
4,0,1,1,1,1,2,12,894.9932711319066
5,1,1,0,2,1,1,12,895.0910476196788
6,3,1,1,1,1,2,12,895.6263584981469
7,0,1,3,1,1,2,12,895.6547488205052
8,2,1,2,1,1,2,12,895.7679500139194
9,0,1,1,2,1,1,12,896.0212165345433
10,1,1,0,1,1,3,12,896.1280316197754
11,1,1,1,1,1,2,12,896.2210820612979
12,2,1,0,1,1,2,12,896.2396605853327
13,3,1,3,1,1,2,12,896.3066870027966
14,1,1,0,2,1,3,12,896.4503300492662
15,0,1,3,2,1,1,12,896.5065951547294
16,2,1,1,3,1,1,12,896.6392465125224
17,1,1,0,3,1,1,12,896.7484082633969
18,0,1,1,1,1,3,12,896.7504905577405
19,3,1,1,2,1,1,12,896.7650799589222
20,0,1,2,1,1,2,12,896.8027283207442
21,2,1,2,2,1,1,12,896.8386046149789
22,1,1,1,2,1,1,12,896.9841155662573
23,2,1,0,2,1,1,12,897.0145493559781
24,1,1,3,1,1,2,12,897.0536825706879
25,0,1,1,2,1,3,12,897.2030127988544
26,1,1,2,3,1,3,12,897.2913213629903
27,3,1,1,1,1,3,12,897.2932183880018
28,0,1,3,1,1,3,12,897.299011301729
29,1,1,0,3,1,3,12,897.3972222512318
30,2,1,3,1,1,2,12,897.4231595440614
31,2,1,2,1,1,3,12,897.4281019315881
32,2,1,1,2,1,3,12,897.524378532779
33,1,1,0,3,1,2,12,897.5470126111696
34,0,1,1,3,1,1,12,897.5544587072266
35,0,1,2,2,1,1,12,897.7244747718967
36,3,1,0,1,1,2,12,897.8100681675904
37,0,1,1,3,1,3,12,897.9643447686648
38,1,1,1,1,1,3,12,898.046284160761
39,2,1,0,1,1,3,12,898.0751043221403
40,1,1,3,2,1,1,12,898.1210589718333
41,0,1,3,2,1,3,12,898.1218367389841
42,1,1,0,2,1,2,12,898.1354012895014
43,1,1,2,1,1,2,12,898.1660996128023
44,3,1,1,2,1,3,12,898.1671899245957
45,0,1,3,3,1,1,12,898.1807390787434
46,3,1,1,3,1,1,12,898.1999089638988
47,2,1,2,2,1,3,12,898.2792157073168
48,2,1,2,3,1,1,12,898.3548442551372
49,3,1,3,1,1,3,12,898.373915228312
50,3,1,2,1,1,2,12,898.4091436772763
51,1,1,1,2,1,3,12,898.4281506404494
52,2,1,0,2,1,3,12,898.4352686465116
53,0,1,1,3,1,2,12,898.4711093553757
54,2,1,3,2,1,1,12,898.5149312382815
55,3,1,0,2,1,1,12,898.5464352880399
56,1,1,3,1,1,3,12,898.5479623732444
57,0,1,2,1,1,3,12,898.6093627863877
58,3,1,1,3,1,3,12,898.6495346851835
59,1,1,1,3,1,1,12,898.6614671310491
60,0,1,3,3,1,3,12,898.6675567416348
61,2,1,0,3,1,1,12,898.6916384841718
62,0,1,3,0,1,0,12,898.6954477334239
63,2,1,2,3,1,3,12,898.7771136029072
64,1,1,2,2,1,1,12,898.9277181389881
65,0,1,2,2,1,3,12,898.9757444170796
66,0,1,3,3,1,2,12,899.1378176879609
67,3,1,3,3,1,1,12,899.1429708728194
68,3,1,2,1,1,3,12,899.2011241632096
69,0,1,3,2,1,2,12,899.2103630448412
70,0,1,2,3,1,1,12,899.3011819600175
71,0,1,1,2,1,2,12,899.312779502714
72,1,1,1,3,1,3,12,899.3487417859218
73,2,1,0,3,1,3,12,899.3687249589805
74,3,1,3,3,1,3,12,899.46675724162
75,1,1,1,3,1,2,12,899.4964495553593
76,2,1,0,3,1,2,12,899.5041581408573
77,0,1,3,1,1,1,12,899.5447581107112
78,3,1,0,1,1,3,12,899.553592276898
79,1,1,3,2,1,3,12,899.6246937691119
80,0,1,3,1,1,0,12,899.6539636732881
81,1,1,3,3,1,1,12,899.6888600383892
82,3,1,3,2,1,1,12,899.7702833190364
83,2,1,3,2,1,3,12,899.8289818603195
84,0,1,3,0,1,1,12,899.8309429973111
85,2,1,3,3,1,1,12,899.8417865160262
86,0,1,2,3,1,3,12,899.8543610376274
87,1,1,0,0,1,0,12,899.9018488039364
88,1,1,1,2,1,2,12,899.9120938376783
89,1,1,0,1,1,1,12,899.9285907368924
90,1,1,3,3,1,3,12,899.9363779379152
